row	matrix	label_orig	label_norm	fix
182	(0,0)(1,1)(2,2)(1,1)	psi(W_2+W)	psi(W_2+W)	
183	(0,0)(1,1)(2,2)(1,1)(1,1)	psi(W_2+W*2)	psi(W_2+W*2)	
184	(0,0)(1,1)(2,2)(1,1)(2,0)	psi(W_2+W*w)	psi(W_2+W*w)	
185	(0,0)(1,1)(2,2)(1,1)(2,1)	psi(W_2+W^2)	psi(W_2+W^2)	
186	(0,0)(1,1)(2,2)(1,1)(2,1)(3,0)	psi(W_2+W^w)	psi(W_2+W^w)	
187	(0,0)(1,1)(2,2)(1,1)(2,1)(3,1)	psi(W_2+W^W)	psi(W_2+W^W)	
188	(0,0)(1,1)(2,2)(1,1)(2,2)	psi(W_2+e(W+1)) = psi(W_2+psi_1(W_2))	psi(W_2+e(W+1))	alias2
189	(0,0)(1,1)(2,2)(1,1)(2,2)(1,1)(2,2)	psi(W_2+psi_1(W_2)*2) = psi(W_2+e(W+1)*2)	psi(W_2+psi_1(W_2)*2)	alias2
190	(0,0)(1,1)(2,2)(2,0)	psi(W_2+psi_1(W_2)*w) = psi(W_2+e(W+1)*w) = psi(W_2+psi_1(W_2+1))	psi(W_2+psi_1(W_2)*w)	alias3
191	(0,0)(1,1)(2,2)(2,1)	psi(W_2+psi_1(W_2)*W) = psi(W_2+e(W+1)*W) = psi(W_2+psi_1(W_2+W))	psi(W_2+psi_1(W_2)*W)	alias3
192	(0,0)(1,1)(2,2)(2,1)(2,1)	psi(W_2+psi_1(W_2)*W^2) = psi(W_2+e(W+1)*W^2) = psi(W_2+psi_1(W_2+W*2))	psi(W_2+psi_1(W_2)*W^2)	alias3
193	(0,0)(1,1)(2,2)(2,1)(3,0)	psi(W_2+psi_1(W_2)*W^w) = psi(W_2+e(W+1)*W^w) = psi(W_2+psi_1(W_2+W*w))	psi(W_2+psi_1(W_2)*W^w)	alias3
194	(0,0)(1,1)(2,2)(2,1)(3,1)	psi(W_2+psi_1(W_2)*W^W) = psi(W_2+e(W+1)*W^W) = psi(W_2+psi_1(W_2+W^2))	psi(W_2+psi_1(W_2)*W^W)	alias3
195	(0,0)(1,1)(2,2)(2,1)(3,2)	psi(W_2+psi_1(W_2)^2) = psi(W_2+e(W+1)^2) = psi(W_2+psi_1(W_2+psi_1(W_2)))	psi(W_2+psi_1(W_2)^2)	alias3
196	(0,0)(1,1)(2,2)(2,1)(3,2)(2,1)	psi(W_2+psi_1(W_2)^2*W) = psi(W_2+e(W+1)^2*W) = psi(W_2+psi_1(W_2+psi_1(W_2)+W))	psi(W_2+psi_1(W_2)^2*W)	alias3
197	(0,0)(1,1)(2,2)(2,1)(3,2)(2,1)(3,2)	psi(W_2+psi_1(W_2)^3) = psi(W_2+e(W+1)^3) = psi(W_2+psi_1(W_2+psi_1(W_2)*2))	psi(W_2+psi_1(W_2)^3)	alias3
198	(0,0)(1,1)(2,2)(2,1)(3,2)(3,0)	psi(W_2+psi_1(W_2)^w) = psi(W_2+e(W+1)^w) = psi(W_2+psi_1(W_2+psi_1(W_2+1)))	psi(W_2+psi_1(W_2)^w)	alias3
